Store Type,# Store Nodes,# Concurrent Requests,Record Size (bytes),Num Records Generated,Write Records/s,Sigma Write Records/s,Write MB/s,Sigma Write MB/s,Read Records/s,Sigma Read Records/s,Reads MB/s,Sigma Reads MB/s
Zookeeper,1,30,512,512,2664.893,57.339,1.301,0.028,11323.160,785.345,5.529,0.028
Zookeeper,1,30,1024,512,2594.675,44.624,2.534,0.044,11874.054,205.587,11.596,0.044
Zookeeper,1,30,2048,512,2711.589,35.269,5.296,0.069,10186.168,103.039,19.895,0.069
Zookeeper,1,30,4096,512,2673.969,17.316,10.445,0.068,11366.517,434.654,44.400,0.068
Zookeeper,3,1,128,512,756.258,5.113,0.092,0.001,6010.226,64.056,0.734,0.001
Zookeeper,3,1,256,512,749.291,6.327,0.183,0.002,5989.940,56.504,1.462,0.002
Zookeeper,3,1,512,512,751.455,2.121,0.367,0.001,5577.960,176.159,2.724,0.001
Zookeeper,3,1,1024,512,748.339,3.501,0.731,0.003,5880.456,68.371,5.743,0.003
Zookeeper,3,1,2048,512,738.332,4.767,1.442,0.009,5746.288,67.156,11.223,0.009
Zookeeper,3,1,4096,512,720.764,4.567,2.815,0.018,5467.162,34.753,21.356,0.018
Zookeeper,3,5,128,512,1657.949,20.955,0.202,0.003,11156.887,218.854,1.362,0.003
Zookeeper,3,5,256,512,1627.734,38.228,0.397,0.009,11041.032,118.935,2.696,0.009
Zookeeper,3,5,512,512,1651.691,8.951,0.806,0.004,10635.611,776.959,5.193,0.004
Zookeeper,3,5,1024,512,1646.744,26.015,1.608,0.025,11160.035,119.586,10.898,0.025
Zookeeper,3,5,2048,512,1575.372,17.869,3.077,0.035,11245.223,114.359,21.963,0.035
Zookeeper,3,5,4096,512,1471.856,144.720,5.749,0.565,10623.221,268.175,41.497,0.565
Zookeeper,3,10,128,512,1784.701,28.521,0.218,0.003,11092.113,338.774,1.354,0.003
Zookeeper,3,10,256,512,1783.435,45.422,0.435,0.011,11346.436,200.345,2.770,0.011
Zookeeper,3,10,512,512,1784.273,39.142,0.871,0.019,10648.405,786.733,5.199,0.019
Zookeeper,3,10,1024,512,1827.703,23.756,1.785,0.023,10418.081,329.078,10.174,0.023
Zookeeper,3,10,2048,512,1779.040,39.719,3.475,0.078,11328.033,218.441,22.125,0.078
Zookeeper,3,10,4096,512,1745.919,14.914,6.820,0.058,10764.374,153.044,42.048,0.058
Zookeeper,3,15,128,512,1841.326,33.126,0.225,0.004,11201.956,365.984,1.367,0.004
Zookeeper,3,15,256,512,1807.491,34.199,0.441,0.008,11341.096,117.738,2.769,0.008
Zookeeper,3,15,512,512,1839.360,9.095,0.898,0.004,10768.782,664.414,5.258,0.004
Zookeeper,3,15,1024,512,1815.880,20.406,1.773,0.020,11417.780,222.809,11.150,0.020
Zookeeper,3,15,2048,512,1795.077,40.410,3.506,0.079,11591.077,193.234,22.639,0.079
Zookeeper,3,15,4096,512,1750.654,40.975,6.838,0.160,10989.357,296.536,42.927,0.160
Zookeeper,3,20,128,512,1866.788,27.751,0.228,0.003,11403.000,195.493,1.392,0.003
Zookeeper,3,20,256,512,1826.544,20.730,0.446,0.005,11366.855,196.176,2.775,0.005
Zookeeper,3,20,512,512,1863.203,21.319,0.910,0.010,10770.137,795.814,5.259,0.010
Zookeeper,3,20,1024,512,1431.790,645.363,1.398,0.630,11108.196,836.324,10.848,0.630
Zookeeper,3,20,2048,512,1827.444,45.256,3.569,0.088,11568.454,143.757,22.595,0.088
Zookeeper,3,20,4096,512,1781.924,40.466,6.961,0.158,11412.095,390.811,44.578,0.158
Zookeeper,3,25,128,512,1856.801,20.210,0.227,0.002,11443.191,181.290,1.397,0.002
Zookeeper,3,25,256,512,1836.774,38.914,0.448,0.010,11488.293,212.787,2.805,0.010
Zookeeper,3,25,512,512,1865.130,12.636,0.911,0.006,10872.095,789.932,5.309,0.006
Zookeeper,3,25,1024,512,1837.963,30.948,1.795,0.030,10471.604,416.988,10.226,0.030
Zookeeper,3,25,2048,512,1860.978,24.047,3.635,0.047,11661.896,303.970,22.777,0.047
Zookeeper,3,25,4096,512,1762.954,40.631,6.887,0.159,11170.213,169.420,43.634,0.159
Zookeeper,3,30,128,512,1843.058,46.592,0.225,0.006,11706.874,240.266,1.429,0.006
Zookeeper,3,30,256,512,1851.280,35.054,0.452,0.009,11382.429,329.234,2.779,0.009
Zookeeper,3,30,512,512,1834.584,35.761,0.896,0.017,11007.289,549.129,5.375,0.017
Zookeeper,3,30,1024,512,1881.352,32.649,1.837,0.032,10380.166,1038.715,10.137,0.032
Zookeeper,3,30,2048,512,1828.320,32.830,3.571,0.064,11485.956,148.723,22.434,0.064
Zookeeper,3,30,4096,512,1773.037,37.619,6.926,0.147,11100.098,145.310,43.360,0.147
Zookeeper,5,1,128,512,689.178,4.695,0.084,0.001,5916.708,104.618,0.722,0.001
Zookeeper,5,1,256,512,684.963,7.976,0.167,0.002,5915.357,105.835,1.444,0.002
Zookeeper,5,1,512,512,685.148,11.369,0.335,0.006,5561.444,254.772,2.716,0.006
Zookeeper,5,1,1024,512,662.092,6.902,0.647,0.007,5380.665,85.570,5.255,0.007
Zookeeper,5,1,2048,512,579.555,44.189,1.132,0.086,5735.834,60.600,11.203,0.086
Zookeeper,5,1,4096,512,469.129,45.568,1.833,0.178,5436.828,94.184,21.238,0.178
Zookeeper,5,5,128,512,1300.120,12.744,0.159,0.002,10937.093,163.153,1.335,0.002
Zookeeper,5,5,256,512,1304.973,9.893,0.319,0.002,11108.788,196.114,2.712,0.002
Zookeeper,5,5,512,512,1308.024,9.387,0.639,0.005,10482.018,756.017,5.118,0.005
Zookeeper,5,5,1024,512,1237.916,19.866,1.209,0.019,9903.259,339.486,9.671,0.019
Zookeeper,5,5,2048,512,941.024,74.555,1.838,0.146,11492.231,218.062,22.446,0.146
Zookeeper,5,5,4096,512,752.483,39.627,2.939,0.155,10541.546,183.322,41.178,0.155
Zookeeper,5,10,128,512,1392.973,26.927,0.170,0.003,11250.119,111.801,1.373,0.003
Zookeeper,5,10,256,512,1376.303,14.617,0.336,0.004,11058.035,401.342,2.700,0.004
Zookeeper,5,10,512,512,1403.697,25.336,0.685,0.012,10758.882,648.324,5.253,0.012
Zookeeper,5,10,1024,512,1331.186,20.445,1.300,0.020,9830.578,615.868,9.600,0.020
Zookeeper,5,10,2048,512,1206.852,38.532,2.357,0.075,11502.293,206.624,22.465,0.075
Zookeeper,5,10,4096,512,1037.252,61.659,4.052,0.241,10718.843,153.434,41.870,0.241
Zookeeper,5,15,128,512,1414.359,22.221,0.173,0.003,11284.193,435.182,1.377,0.003
Zookeeper,5,15,256,512,1391.575,42.076,0.340,0.010,11447.862,141.304,2.795,0.010
Zookeeper,5,15,512,512,1406.210,32.848,0.687,0.016,11087.874,762.872,5.414,0.016
Zookeeper,5,15,1024,512,1389.793,15.426,1.357,0.015,9856.581,460.878,9.626,0.015
Zookeeper,5,15,2048,512,1266.152,58.207,2.473,0.114,11556.031,186.426,22.570,0.114
Zookeeper,5,15,4096,512,1143.993,36.004,4.469,0.141,10954.629,163.697,42.792,0.141
Zookeeper,5,20,128,512,1446.287,22.002,0.177,0.003,11471.616,354.447,1.400,0.003
Zookeeper,5,20,256,512,1450.730,21.076,0.354,0.005,11452.610,225.026,2.796,0.005
Zookeeper,5,20,512,512,1455.666,21.937,0.711,0.011,10750.816,1103.638,5.249,0.011
